Exp_number,Grid,Stimuli_1,Stimuli_2,Exemplar,Species,Present,Approach,Playback,Post
8,1,NHHE,NHHE,2,NHHE,1,1,0,0
8,1,NHHE,NHHE,2,REWA,1,0,0,0
8,1,NHHE,NHHE,2,EASP,1,1,0,0
8,1,NHHE,NHHE,2,BRTH,0,0,0,0
8,1,NHHE,NHHE,2,CRRO,1,0,0,0
8,1,NHHE,NHHE,2,PICU,1,0,0,1
3,1,REWA,REWA,2,WBSC,1,0,0,0
3,1,REWA,REWA,2,SUFW,0,0,0,0
3,1,REWA,REWA,2,NHHE,1,0,0,1
3,1,REWA,REWA,2,REWA,1,1,1,0
3,1,REWA,REWA,2,EASP,1,0,0,0
3,1,REWA,REWA,2,BRTH,0,0,0,0
3,1,REWA,REWA,2,CRRO,1,0,0,1
3,1,REWA,REWA,2,PICU,0,0,0,0
7,1,SUFW,SUFW,2,WBSC,0,0,0,0
7,1,SUFW,SUFW,2,SUFW,0,0,0,0
7,1,SUFW,SUFW,2,NHHE,1,1,1,0
7,1,SUFW,SUFW,2,REWA,1,0,1,0
7,1,SUFW,SUFW,2,EASP,1,1,0,0
7,1,SUFW,SUFW,2,BRTH,0,0,0,0
7,1,SUFW,SUFW,2,CRRO,0,0,0,0
7,1,SUFW,SUFW,2,PICU,1,0,0,0
4,1,WBSC,WBSC,2,WBSC,1,0,0,1
4,1,WBSC,WBSC,2,SUFW,0,0,0,0
4,1,WBSC,WBSC,2,NHHE,1,1,0,1
4,1,WBSC,WBSC,2,REWA,1,0,0,1
4,1,WBSC,WBSC,2,EASP,1,1,0,0
4,1,WBSC,WBSC,2,BRTH,0,0,0,0
4,1,WBSC,WBSC,2,CRRO,1,0,0,0
4,1,WBSC,WBSC,2,PICU,1,0,0,0
6,1,NHHE,REWA,2,WBSC,1,0,0,0
6,1,NHHE,REWA,2,SUFW,0,0,0,0
6,1,NHHE,REWA,2,NHHE,1,1,0,1
6,1,NHHE,REWA,2,REWA,1,1,1,1
6,1,NHHE,REWA,2,EASP,1,1,0,0
6,1,NHHE,REWA,2,BRTH,0,0,0,0
6,1,NHHE,REWA,2,CRRO,1,0,0,0
6,1,NHHE,REWA,2,PICU,1,0,0,0
11,1,NHHE,SUFW,2,WBSC,1,0,1,0
11,1,NHHE,SUFW,2,SUFW,1,1,0,1
11,1,NHHE,SUFW,2,NHHE,1,0,0,1
11,1,NHHE,SUFW,2,REWA,1,0,0,0
11,1,NHHE,SUFW,2,EASP,1,0,0,0
11,1,NHHE,SUFW,2,BRTH,1,1,1,0
11,1,NHHE,SUFW,2,CRRO,1,0,0,0
11,1,NHHE,SUFW,2,PICU,1,0,0,0
1,1,NHHE,WBSC,2,WBSC,1,0,0,0
1,1,NHHE,WBSC,2,SUFW,0,0,0,0
1,1,NHHE,WBSC,2,NHHE,1,1,1,1
1,1,NHHE,WBSC,2,REWA,1,1,1,1
1,1,NHHE,WBSC,2,EASP,1,1,0,0
1,1,NHHE,WBSC,2,BRTH,0,0,0,0
1,1,NHHE,WBSC,2,CRRO,1,1,1,0
1,1,NHHE,WBSC,2,PICU,0,0,0,0
2,1,REWA,SUFW,2,WBSC,1,0,0,0
2,1,REWA,SUFW,2,SUFW,0,0,0,0
2,1,REWA,SUFW,2,NHHE,1,0,1,0
2,1,REWA,SUFW,2,REWA,1,1,1,1
2,1,REWA,SUFW,2,EASP,1,1,0,0
2,1,REWA,SUFW,2,BRTH,0,0,0,0
2,1,REWA,SUFW,2,CRRO,1,1,0,0
2,1,REWA,SUFW,2,PICU,1,0,0,0
5,1,REWA,WBSC,2,WBSC,1,0,0,0
5,1,REWA,WBSC,2,SUFW,0,0,0,0
5,1,REWA,WBSC,2,NHHE,1,1,1,1
5,1,REWA,WBSC,2,REWA,1,0,1,0
5,1,REWA,WBSC,2,EASP,1,1,0,0
5,1,REWA,WBSC,2,BRTH,0,0,0,0
5,1,REWA,WBSC,2,CRRO,1,0,0,0
5,1,REWA,WBSC,2,PICU,1,0,0,0
9,1,SUFW,WBSC,2,WBSC,0,0,0,0
9,1,SUFW,WBSC,2,SUFW,0,0,0,0
