Exp_number,Grid,Stimuli_1,Stimuli_2,Exemplar,Species,Present,Approach,Playback,Post
8,3,NHHE,SUFW,2,REWA,1,0,0,0
8,3,NHHE,SUFW,2,EASP,0,0,0,0
8,3,NHHE,SUFW,2,BRTH,0,0,0,0
8,3,NHHE,SUFW,2,CRRO,1,0,1,0
8,3,NHHE,SUFW,2,PICU,1,0,1,0
5,3,NHHE,WBSC,2,WBSC,1,0,0,1
5,3,NHHE,WBSC,2,SUFW,1,0,0,0
5,3,NHHE,WBSC,2,NHHE,0,0,0,0
5,3,NHHE,WBSC,2,REWA,1,0,0,0
5,3,NHHE,WBSC,2,EASP,1,0,0,0
5,3,NHHE,WBSC,2,BRTH,0,0,0,0
5,3,NHHE,WBSC,2,CRRO,1,1,1,0
5,3,NHHE,WBSC,2,PICU,1,1,0,0
9,3,REWA,SUFW,2,WBSC,0,0,0,0
9,3,REWA,SUFW,2,SUFW,1,0,0,0
9,3,REWA,SUFW,2,NHHE,0,0,0,0
9,3,REWA,SUFW,2,REWA,1,0,0,0
9,3,REWA,SUFW,2,EASP,1,1,0,0
9,3,REWA,SUFW,2,BRTH,0,0,0,0
9,3,REWA,SUFW,2,CRRO,0,0,0,0
9,3,REWA,SUFW,2,PICU,1,0,0,0
11,3,REWA,WBSC,2,WBSC,1,0,0,0
11,3,REWA,WBSC,2,SUFW,1,0,0,0
11,3,REWA,WBSC,2,NHHE,0,0,0,0
11,3,REWA,WBSC,2,REWA,1,0,0,0
11,3,REWA,WBSC,2,EASP,1,1,0,0
11,3,REWA,WBSC,2,BRTH,0,0,0,0
11,3,REWA,WBSC,2,CRRO,0,0,0,0
11,3,REWA,WBSC,2,PICU,1,1,0,0
1,3,SUFW,WBSC,2,WBSC,0,0,0,0
1,3,SUFW,WBSC,2,SUFW,1,0,0,0
1,3,SUFW,WBSC,2,NHHE,0,0,0,0
1,3,SUFW,WBSC,2,REWA,1,0,0,0
1,3,SUFW,WBSC,2,EASP,1,0,0,0
1,3,SUFW,WBSC,2,BRTH,0,0,0,0
1,3,SUFW,WBSC,2,CRRO,1,0,0,0
1,3,SUFW,WBSC,2,PICU,1,0,0,0
